region,year,powertrain,sales_shares,sales_volumes
China,2025,EV,49.0,10927000.0
China,2030,EV,68.0,17610000.0
China,2035,EV,85.0,22160000.0
Europe,2025,EV,31.0,4705800.0
Europe,2030,EV,62.0,9310000.0
Europe,2035,EV,92.0,14063000.0
India,2025,EV,9.0,399644.0
India,2030,EV,32.0,1817770.0
India,2035,EV,59.0,4010200.0
Rest of the world,2025,EV,9.0,2118000.0
Rest of the world,2030,EV,24.0,7490000.0
Rest of the world,2035,EV,46.0,17470000.0
USA,2025,EV,20.0,3073800.0
USA,2030,EV,55.0,8808600.0
USA,2035,EV,71.0,11121000.0
World,2025,EV,26.0,21810000.0
World,2030,EV,48.0,44420000.0
World,2035,EV,68.0,68390000.0
